class;cap-diameter;cap-shape;cap-surface;cap-color;does-bruise-or-bleed;gill-attachment;gill-spacing;gill-color;stem-height;stem-width;stem-root;stem-surface;stem-color;veil-type;veil-color;has-ring;ring-type;spore-print-color;habitat;season
p;8.25;s;t;p;t;d;c;p;8.98;14.95;;;p;;;t;f;;d;a
p;7.56;f;;w;f;x;c;w;9.38;9.18;r;i;w;;;f;f;;d;u
e;10.34;x;i;n;t;e;;p;9.58;18.16;;y;w;;;t;l;;d;a
p;4.44;f;;y;f;s;d;y;3.91;10.6;;i;y;;;f;f;;d;a
p;3.81;f;d;n;f;x;c;w;4.53;3.06;b;s;n;;;f;f;;l;u
p;7.36;f;;r;f;x;c;n;6.17;10.71;;;w;;;f;f;;d;a
p;3.48;s;d;w;f;a;d;w;4.44;2.79;;h;w;;;f;f;;g;a
p;8.09;x;e;o;f;a;;y;11.94;19.99;r;;y;;;t;r;n;d;w
p;5.99;f;t;n;f;x;c;y;4.72;12.7;;;y;;;f;f;;d;a
p;5.76;x;s;e;f;e;;g;5.08;5.73;;;y;;;f;f;;g;u
e;7.2;x;;n;f;x;c;w;6.54;17.55;;s;w;;;f;f;;d;u
e;5.77;x;y;n;f;e;c;n;4.54;11.46;;;w;;;t;l;;w;a
p;3.68;x;t;n;f;s;c;n;5.51;9.46;;;w;;n;t;z;;d;a
p;5.45;s;k;y;f;p;;n;4.08;6.21;;k;n;;;t;f;;d;u
e;2.85;s;y;n;f;a;d;p;6.05;3.5;;i;n;;;f;f;;h;u
p;3.48;b;s;y;f;;c;y;8.14;7.1;;;y;u;w;t;z;r;d;u
e;16.98;p;t;n;f;p;;y;16.58;63.6;;;n;;;f;f;;d;u
p;6.02;s;d;e;t;d;c;w;6.65;7.89;;;e;;;f;f;;d;a
p;1.88;p;t;n;f;a;c;g;5.51;2.41;;t;y;;;t;e;;m;u
p;5.2;s;;n;t;d;c;b;4.7;4.26;;;n;;;f;f;;d;a
e;8.5;f;y;n;f;;;w;6.53;24.33;b;;n;;w;t;e;;d;w
p;3.5;f;;w;f;x;c;p;7.73;4.43;;;n;;;f;f;;d;a
e;8.65;x;h;y;f;p;;y;7.33;14.88;;;y;;y;t;;;d;a
e;6.51;x;y;n;f;e;c;w;5.38;10.01;;y;n;;;f;f;;d;u
p;4.53;s;;u;f;a;;w;3.96;6.77;;;w;;;f;f;;d;a
p;7.98;f;;y;f;x;c;n;6.35;11.08;;;w;;;f;f;;d;u
p;6.09;x;h;e;f;x;d;w;5.06;16.31;b;;w;;;f;f;;d;a
p;4.4;x;h;y;f;a;c;y;5.67;6.32;;g;o;;;f;f;;g;u
p;6.85;x;i;n;f;a;c;n;7.57;7.57;;i;n;;k;t;z;k;d;u
e;6.87;p;s;w;f;e;c;p;5.17;12.93;;;w;;w;t;e;;m;u
e;8.39;f;;p;f;x;c;w;7.82;18.61;;s;w;;;f;f;;d;a
p;7.68;s;t;r;t;d;;w;4.6;12.92;;t;n;;;f;f;;d;u
p;12.62;f;s;n;f;d;c;y;4.66;23.16;;k;n;;;f;f;;d;u
e;3.5;x;s;e;f;a;c;e;4.39;6.55;;;o;;;f;f;;m;a
e;6.76;f;w;y;f;f;f;f;3.83;13.64;;;y;;;f;f;;d;u
p;3.08;x;y;y;f;a;;w;5.09;3.19;;y;n;;;t;r;;g;a
p;3.17;c;;u;f;a;c;n;3.4;3.34;;i;w;;;f;f;;p;a
e;7.31;s;s;y;f;x;;n;8.78;22.49;;;p;;;f;f;;d;a
p;3.84;f;y;n;f;e;c;n;4.48;3.33;;k;w;;;t;e;;d;u
e;7.15;f;s;k;f;a;c;w;4.93;15.91;;;w;;;f;f;;d;u
e;9.31;x;t;n;t;p;;y;6.95;16.8;;;n;;w;t;p;;d;a
p;2.47;x;d;w;f;d;d;w;3.11;2.21;;h;w;;;f;f;;g;u
p;0.82;x;g;o;f;;;y;3.57;0.75;;;y;;;f;f;;d;u
e;8.84;f;s;n;f;a;d;w;8.32;12.86;;i;n;;;t;;w;d;u
e;9.15;s;;n;f;;;w;4.43;21.28;;;n;;;f;f;;d;u
p;5.55;b;k;n;f;a;c;y;4.87;6.57;;i;n;;;t;;;d;u
e;3.59;x;s;w;f;d;d;w;3.17;4.87;;;w;;;f;f;;m;w
e;5.03;x;;n;f;x;c;w;8.31;9.27;b;;n;;w;t;;;g;a
e;51.99;o;y;y;f;p;;y;5.32;27.18;;k;n;;;f;f;;d;u
p;6.86;x;s;n;f;s;;g;4.77;6.91;;y;n;;;f;f;;d;w
p;21.73;f;s;e;f;p;;y;5.68;33.56;;;n;;;f;f;;d;w
e;11.27;x;s;n;t;p;;n;7.84;17.99;;;n;;w;t;p;;d;u
p;11.52;o;;n;f;f;f;f;3.81;27.42;;g;n;;;f;f;;d;u
p;1.31;b;h;n;f;a;;n;4.76;1.59;;t;n;;;f;f;;g;s
p;3.15;b;y;p;f;e;c;w;4.69;3.38;;k;w;;;t;e;;d;u
p;2.09;f;i;l;f;a;;w;4.59;2.54;;;w;;;f;f;p;g;a
p;2.29;p;t;n;f;a;c;g;7.8;2.65;;t;y;;;t;e;;m;s
e;11.11;x;s;n;f;e;c;p;7.35;10.57;;i;w;;;f;f;p;d;s
p;9.28;x;e;n;f;a;;n;9.42;13.21;s;;n;;e;f;f;;h;a
e;10.63;x;s;e;f;a;d;w;8.87;16.01;;i;n;;;t;;w;d;w
e;11.86;x;e;l;f;x;c;w;7.7;19.43;;;w;;;f;f;;d;a
p;4.46;x;h;n;f;a;c;n;4.14;5.48;;y;o;;;t;z;;d;w
p;7.04;s;d;o;f;d;c;o;4.6;7.15;;;y;;;f;f;;h;a
p;0.7;f;;o;f;d;;o;4.72;1.06;;;o;;;f;f;w;g;a
p;8.37;x;t;n;f;a;d;w;11.07;27.47;;;w;;;f;f;;d;a
e;3.91;x;;y;f;a;c;o;5.05;10.45;;;w;;;f;f;;d;a
e;6.57;x;s;k;f;a;c;w;4.3;13.98;;;w;;;f;f;;d;u
p;1.4;x;g;n;f;d;d;n;1.99;2.51;;s;n;;;f;f;;h;u
p;2.71;p;t;n;f;a;c;g;8.75;2.66;;t;y;;;t;e;;m;a
e;8.71;x;y;n;f;e;c;n;4.4;11.71;;;w;;;t;r;;w;a
p;2.98;f;;u;f;a;;w;3.8;6.42;;;w;;;f;f;;d;a
e;3.95;x;y;n;f;s;;y;3.6;5.81;;;w;;;f;f;;d;a
p;5.1;f;k;n;f;p;;n;2.49;5.24;;k;n;;;t;f;;d;u
p;4.99;o;t;n;f;;c;w;0.0;0.0;f;f;f;;;f;f;n;d;u
e;3.93;x;t;n;f;d;;o;5.92;8.67;;t;w;;;f;f;;d;w
p;7.21;f;w;p;f;s;c;p;4.5;10.07;;;p;;;f;f;;d;a
p;3.05;o;l;g;f;f;f;f;0.0;0.0;f;f;f;;;f;f;;d;u
e;3.67;s;d;g;t;d;c;p;3.86;5.6;;;g;;;f;f;;d;a
e;7.86;f;w;y;f;f;f;f;6.99;17.86;;;y;;;f;f;;d;u
p;3.78;x;s;y;f;;c;r;9.25;7.92;;;y;u;w;t;z;r;d;u
e;7.82;x;;e;f;x;c;w;7.91;18.52;;s;w;;;f;f;;d;a
e;4.5;f;;w;f;x;c;u;6.35;3.79;;;w;;;f;f;;d;u
p;7.19;x;g;n;f;e;;w;8.08;12.86;;y;w;u;w;t;p;;d;a
p;16.6;f;t;n;t;d;c;w;5.43;25.88;;;n;;;f;f;;d;u
p;1.49;x;;n;f;;;n;5.41;2.66;;s;n;;;f;f;k;g;a
p;11.6;x;s;w;f;s;;y;7.73;16.7;;i;n;;;f;f;;d;u
p;11.89;x;;g;f;e;;w;10.67;12.12;;;w;u;w;t;e;;d;a
e;5.06;s;;y;f;a;c;w;5.29;13.1;;;w;;;f;f;;d;a
e;8.22;s;l;w;f;d;;p;3.55;10.17;;;w;;;f;f;;g;u
e;6.52;x;d;n;t;p;;y;7.34;15.0;;;y;;;f;f;;d;u
p;3.02;o;;k;f;f;f;f;3.55;12.97;;g;g;;;f;f;;d;u
e;11.47;x;s;n;f;d;d;w;7.66;12.97;;i;n;;;t;;w;d;a
e;7.55;p;;g;f;a;;w;7.7;13.54;;;w;;;f;f;;g;u
p;5.07;x;s;n;f;s;;n;5.27;7.43;;y;n;;;f;f;;d;w
p;11.91;x;k;n;t;p;;o;9.83;29.44;c;;y;;;f;f;;d;a
e;6.9;x;;n;t;;;w;9.8;16.0;b;;w;u;w;t;g;;d;a
e;12.21;s;;w;t;d;c;y;5.67;24.9;;;w;;;f;f;;d;u
p;3.29;o;s;g;f;f;f;f;0.0;0.0;f;f;f;;;t;f;;d;w
p;3.16;s;d;w;f;a;d;w;4.38;3.05;;h;w;;;f;f;;g;a
p;2.69;b;;k;f;a;;k;7.39;2.27;;;n;;w;f;f;k;g;u
